Player,Pos,Team,Rank,Fan Pts,Cur Team,Owner,Draft Team,Draft Owner,Rd,Pick,ADP,% Draft,GP,G,A,P,PIM,SOG,HIT,BLK,W,SV,SV%,GA,SO,% Own,Fan Pts/GP,ID
Joonas Korpisalo,G,BOS,609,50.20,Geek Squad,Nick,,,,,,,15,,,,,,,,7,396,0.888,50,0,13.0,3.35,465.p.5753
Liam O'Brien,"LW,RW",UTA,610,49.65,,,,,,,,,23,2,1,3,29,22,55,9,,,,,,,2.16,465.p.6616
Jake Walman,D,EDM,611,49.40,Geek Squad,Nick,Geek Squad,Nick,9,121,173.2,0.5,17,3,7,10,8,23,7,31,,,,,,22.0,2.91,465.p.6451
Kyle MacLean,C,NYI,612,48.95,,,,,,,,,29,1,2,3,27,23,56,9,,,,,,,1.69,465.p.8217
Jansen Harkins,C,ANA,613,48.95,,,,,,,,,21,3,0,3,11,13,65,15,,,,,,,2.33,465.p.6789
Jonny Brodzinski,C,NYR,614,48.80,,,,,,,,,31,4,5,9,8,35,13,14,,,,,,,1.57,465.p.6128
Sam Dickinson,D,SJ,615,48.70,,,,,,,187.9,0.1,35,1,4,5,10,30,30,28,,,,,,4.0,1.39,465.p.32771
Daniil Tarasov,G,FLA,616,48.60,,,,,,,,,13,,,,,,,,5,358,0.904,38,0,3.0,3.74,465.p.7601
Ben Meyers,C,SEA,617,48.50,,,,,,,,,25,4,4,8,2,36,29,5,,,,,,,1.94,465.p.9246
Jesperi Kotkaniemi,C,CAR,618,48.40,,,,,,,,,25,2,4,6,8,28,40,13,,,,,,,1.94,465.p.7901
Eric Comrie,G,WPG,619,48.40,,,,,,,,,17,,,,,,,,7,397,0.884,52,0,5.0,2.85,465.p.6039
Zach Aston-Reese,C,CBJ,620,48.10,,,,,,,,,24,0,4,4,10,16,63,15,,,,,,,2.00,465.p.7473
Brett Pesce,D,NJ,621,48.00,,,,,,,,,20,1,5,6,4,26,7,52,,,,,,1.0,2.40,465.p.6046
Jonathan Aspirot,D,BOS,622,47.45,,,,,,,,,25,2,1,3,17,17,42,29,,,,,,,1.90,465.p.8194
Mike Reilly,D,CAR,623,47.40,,,,,,,,,27,1,5,6,8,43,13,25,,,,,,,1.76,465.p.5464
Jordan Greenway,LW,BUF,624,47.35,,,,,,,,,28,1,4,5,19,26,41,12,,,,,,,1.69,465.p.6792
Adam Erne,LW,DAL,625,46.90,,,,,,,,,19,3,1,4,6,16,60,10,,,,,,,2.47,465.p.6013
Logan Mailloux,D,STL,626,46.35,,,,,,,,,31,1,1,2,31,29,36,19,,,,,,,1.50,465.p.8906
Kirby Dach,"C,RW",MTL,627,46.20,,,,,,,,,15,5,2,7,16,22,21,15,,,,,,1.0,3.08,465.p.8281
Gustav Nyquist,"LW,RW",WPG,628,46.20,,,,,,,,,31,0,8,8,4,41,18,14,,,,,,1.0,1.49,465.p.5279
Brendan Gaunce,C,CBJ,629,45.80,,,,,,,,,20,2,3,5,12,23,39,15,,,,,,,2.29,465.p.5706
Tyler Pitlick,C,MIN,630,45.00,,,,,,,,,23,1,0,1,24,19,58,13,,,,,,,1.96,465.p.5004
Adam Wilsby,D,NSH,631,44.90,,,,,,,,,34,1,5,6,14,31,14,26,,,,,,,1.32,465.p.8739
Alec Regula,D,EDM,632,44.35,,,,,,,,,27,0,3,3,35,16,15,43,,,,,,,1.64,465.p.7965
Joel Nystrom,D,CAR,633,44.20,,,,,,,,,33,0,8,8,4,38,9,21,,,,,,,1.34,465.p.30319
Nico Sturm,C,MIN,634,43.90,,,,,,,,,24,3,5,8,2,22,28,11,,,,,,,1.83,465.p.8245
Zakhar Bardakov,C,COL,635,43.70,,,,,,,,,31,1,7,8,6,19,30,14,,,,,,,1.41,465.p.32585
Berkly Catton,"C,LW",SEA,636,43.60,,,,,,,,,30,3,5,8,12,34,4,16,,,,,,1.0,1.45,465.p.32775
