Player Name,Position,NHL Team,Fantasy Points,Current Team,Current Owner,Drafted Team,Drafted By,Draft Round,Draft Pick,ADP,Pct Drafted,Goals,Assists,Points,PIM,SOG,Hits,Blocks,Games Played,Wins,Saves,Save %,GA,Shutouts,Pct Owned
Joe Veleno,C,MTL,10.6,,,,,,,,,,,,,,,,,,,,,,1.0
Jalen Chatfield,D,CAR,10.5,,,,,,,,,,,,,,,,,,,,,,
Gemel Smith,"C,LW",DET,10.3,,,,,,,,,,,,,,,,,,,,,,
Taro Hirose,"LW,RW",DET,10.2,,,,,,,,,,,,,,,,,,,,,,
Reese Johnson,RW,TOR,10.2,,,,,,,,,,,,,,,,,,,,,,
Lucas Carlsson,D,SJ,10.1,,,,,,,,,,,,,,,,,,,,,,
Josh Dunne,C,BUF,9.9,,,,,,,,,,,,,,,,,,,,,,
Erik Johnson,D,COL,9.8,,,,,,,,,,,,,,,,,,,,,,1.0
Mikko Koivu,C,CBJ,9.6,,,,,,,,,,,,,,,,,,,,,,
Fredrik Handemark,C,SJ,9.5,,,,,,,,,,,,,,,,,,,,,,
Jan Jenik,RW,OTT,9.5,,,,,,,,,,,,,,,,,,,,,,
Sasha Chmelevski,C,SJ,9.4,,,,,,,,,,,,,,,,,,,,,,
Jeffrey Viel,LW,BOS,9.3,,,,,,,,,,,,,,,,,,,,,,
Morgan Barron,C,WPG,9.3,,,,,,,,,,,,,,,,,,,,,,
Nicolas Meloche,D,SJ,9.3,,,,,,,,,,,,,,,,,,,,,,
Kristian Vesalainen,"LW,RW",WPG,9.2,,,,,,,,,,,,,,,,,,,,,,
Byron Froese,"C,RW",VGK,9.1,,,,,,,,,,,,,,,,,,,,,,
Alexander True,C,FLA,8.9,,,,,,,,,,,,,,,,,,,,,,
Nolan Foote,LW,FLA,8.9,,,,,,,,,,,,,,,,,,,,,,
Gerry Mayhew,RW,FLA,8.9,,,,,,,,,,,,,,,,,,,,,,
Matiss Kivlenieks,G,CBJ,8.8,Left Wing Lads,Ryan,,,,,,,,,,,,,,,,,,,,6.0
Tomas Jurco,"LW,RW",VGK,8.8,,,,,,,,,,,,,,,,,,,,,,
Nate Prosser,D,PHI,8.7,,,,,,,,,,,,,,,,,,,,,,
Daniel Carr,"LW,RW",NSH,8.6,,,,,,,,,,,,,,,,,,,,,,
Brad Hunt,D,WSH,8.6,,,,,,,,,,,,,,,,,,,,,,
Matthew Peca,"C,LW,RW",STL,8.5,,,,,,,,,,,,,,,,,,,,,,
Kyle Burroughs,D,LA,8.5,,,,,,,,,,,,,,,,,,,,,,
Michael Chaput,"C,RW",PIT,8.5,,,,,,,,,,,,,,,,,,,,,,
Quinton Byfield,C,LA,8.5,,,,,,,162.6,0.02,,,,,,,,,,,,,,6.0
Andrew Agozzino,"C,LW",UTA,8.4,,,,,,,,,,,,,,,,,,,,,,
Fredrik Claesson,D,TB,8.4,,,,,,,,,,,,,,,,,,,,,,
Brandon Davidson,D,BUF,8.4,,,,,,,,,,,,,,,,,,,,,,
Zach Senyshyn,RW,OTT,8.3,,,,,,,,,,,,,,,,,,,,,,
Jonny Brodzinski,RW,NYR,8.2,,,,,,,,,,,,,,,,,,,,,,
Michael Frolik,"LW,RW",MTL,8.1,,,,,,,,,,,,,,,,,,,,,,
Tarmo Reunanen,D,NYR,8.1,,,,,,,,,,,,,,,,,,,,,,
